strain	accession	segment	date	host	country	subtype	virus
NY.2010.1178	MF143309	NA	2010-04-20	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.1233	MF143310	NA	2010-12-10	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.1234	MF143311	NA	2010-04-23	Skunk	USA	NA	Rabies_lyssavirus
NY.2010.1349	MF143312	NA	2010-05-04	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.1444	MF143313	NA	2010-05-11	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.1962	MF143314	NA	2010-06-02	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.1986	MF143315	NA	2010-06-02	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.2167	MF143316	NA	2010-06-09	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.2369	MF143317	NA	2010-06-18	Skunk	USA	NA	Rabies_lyssavirus
NY.2010.2456	MF143318	NA	2014-06-23	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.3956	MF143319	NA	2010-08-05	Skunk	USA	NA	Rabies_lyssavirus
NY.2010.5433	MG562546	NA	2010-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.5558	MF143320	NA	2010-09-21	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.5667	MF143321	NA	2010-09-29	Skunk	USA	NA	Rabies_lyssavirus
NY.2010.5742	MF143322	NA	2010-10-06	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.5965	MF143323	NA	2010-10-26	Skunk	USA	NA	Rabies_lyssavirus
NY.2011.0005	MG562547	NA	2011-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
NY.2011.0007	MG562548	NA	2011-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2011.0042	MG562549	NA	2011-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2011.0560	MG562550	NA	2011-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2011.0714	MG562551	NA	2011-XX-XX	Fox	USA	NA	Rabies_lyssavirus
NY.2011.0862	MF143324	NA	2011-04-05	Raccoon	USA	NA	Rabies_lyssavirus
NY.2011.1089	MF143325	NA	2011-04-26	Raccoon	USA	NA	Rabies_lyssavirus
NY.2011.1343	MG562552	NA	2011-XX-XX	Fox	USA	NA	Rabies_lyssavirus
NY.2011.2001	MG562553	NA	2011-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2011.2028	MF143326	NA	2011-06-16	Raccoon	USA	NA	Rabies_lyssavirus
NY.2011.2880	MF143327	NA	2011-07-22	Cat	USA	NA	Rabies_lyssavirus
NY.2011.4095	MG562554	NA	2011-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
NY.2011.4498	MF143328	NA	2011-08-19	Raccoon	USA	NA	Rabies_lyssavirus
NY.2011.5028	MF143329	NA	2011-09-02	Raccoon	USA	NA	Rabies_lyssavirus
NY.2011.5139	MF143330	NA	2011-09-08	Skunk	USA	NA	Rabies_lyssavirus
NY.2011.5196	MF143331	NA	2011-09-13	Skunk	USA	NA	Rabies_lyssavirus
NY.2011.5335	MF143332	NA	2011-09-21	Skunk	USA	NA	Rabies_lyssavirus
NY.2011.5545	MF143333	NA	2011-10-06	Cat	USA	NA	Rabies_lyssavirus
NY.2011.5590	MF143334	NA	2011-10-07	Skunk	USA	NA	Rabies_lyssavirus
NY.2011.5763	MF143335	NA	2011-10-21	Fox	USA	NA	Rabies_lyssavirus
Ni_CE	AB128149	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
Nishigahara	AB044824	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
ON.2015.1361	MF143255	NA	2015-12-04	Raccoon	Canada	NA	Rabies_lyssavirus
OR05455	JQ685948	NA	2010-XX-XX	Fox	USA	NA	Rabies_lyssavirus
OR05506	JQ685918	NA	2010-XX-XX	Fox	USA	NA	Rabies_lyssavirus
OR58	JQ685977	NA	2010-XX-XX	Fox	USA	NA	Rabies_lyssavirus
OR703	JQ685914	NA	2010-XX-XX	Fox	USA	NA	Rabies_lyssavirus
OR704	JQ685924	NA	2010-XX-XX	Fox	USA	NA	Rabies_lyssavirus
OR8767	JQ685957	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
PM1503	DQ099525	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
PO_01_2014_Primorye	KP997032	NA	2014-XX-XX	Bear	Russia	NA	Rabies_lyssavirus
PV_2061	JX276550	NA	XXXX-XX-XX	Unknown	China	NA	Rabies_lyssavirus
Pk_23	HE802675	NA	2010-XX-XX	Cattle	Pakistan	1	Rabies_lyssavirus
Pk_24	HE802676	NA	2007-XX-XX	Cattle	Pakistan	1	Rabies_lyssavirus
QC.2006.2049	MF143341	NA	2006-06-02	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2006.4930	MF143342	NA	2006-09-06	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2006.5982	MF143343	NA	2006-11-15	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.0909	MF143259	NA	2007-08-01	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.0910	MF143344	NA	2007-08-02	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.1065	MF143345	NA	2007-08-29	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.1122	MF143346	NA	2007-08-30	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.2234	MF143260	NA	2007-05-11	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.2783	MF143261	NA	2007-06-11	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.2892	MF143347	NA	2007-06-13	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.2893	MF143348	NA	2007-06-13	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.2937	MF143262	NA	2007-06-13	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.2939	MF143349	NA	2007-06-13	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.2941	MF143350	NA	2007-06-13	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.2942	MF143351	NA	2007-06-13	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.2975	MF143263	NA	2007-06-14	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.2986	MF143264	NA	2007-06-16	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.3122	MF143265	NA	2007-06-21	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.3211	MF143266	NA	2007-06-29	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.3246	MF143352	NA	2007-07-03	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.3657	MF143353	NA	2007-07-05	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.3658	MF143267	NA	2007-07-14	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.3659	MF143268	NA	2007-07-15	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.3870	MF143269	NA	2007-07-19	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.4485	MF143270	NA	2007-08-03	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.5318	MF143354	NA	2007-08-23	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.5827	MF143355	NA	2007-09-21	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.6184	MF143356	NA	2007-10-11	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.6234	MF143271	NA	2007-10-12	Skunk	Canada	NA	Rabies_lyssavirus
QC.2007.6292	MF143357	NA	2007-11-01	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.6389	MF143358	NA	2007-11-01	Skunk	Canada	NA	Rabies_lyssavirus
QC.2007.6390	MF143256	NA	2007-10-20	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2007.6442	MF143359	NA	2007-11-15	Fox	Canada	NA	Rabies_lyssavirus
QC.2007.6659	MF143360	NA	2007-11-19	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.0750	MF143272	NA	2008-03-04	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.1096	MF143361	NA	2008-03-17	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.1237	MF143362	NA	2008-03-21	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.1411	MF143363	NA	2008-04-15	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.1846	MF143273	NA	2008-05-07	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.1848	MF143274	NA	2008-05-08	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.1894	MF143365	NA	2008-05-13	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.1970	MF143364	NA	2008-05-13	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.2444	MF143366	NA	2008-06-16	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.4180	MF143367	NA	2008-07-31	Skunk	Canada	NA	Rabies_lyssavirus
QC.2008.4262	MF143368	NA	2008-08-25	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.4808	MF143369	NA	2008-09-03	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.5000	MF143370	NA	2008-09-17	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.5001	MF143371	NA	2008-09-20	Raccoon	Canada	NA	Rabies_lyssavirus
QC.2008.5337	MF143275	NA	2008-10-15	Skunk	Canada	NA	Rabies_lyssavirus
QC.2009.0709	MF143276	NA	2009-02-26	Skunk	Canada	NA	Rabies_lyssavirus
QC.2009.0819	MF143372	NA	2009-04-07	Skunk	Canada	NA	Rabies_lyssavirus
QC.2015.0488	MF143277	NA	2015-06-04	Raccoon	Canada	NA	Rabies_lyssavirus
QS_05	JN786877	NA	XXXX-XX-XX	Unknown	Thailand	NA	Rabies_lyssavirus
QS_BHK_P7	JN786878	NA	XXXX-XX-XX	Unknown	Thailand	NA	Rabies_lyssavirus
R2012_26	KF620487	NA	2012-05-XX	Badger	Taiwan	NA	Rabies_lyssavirus
R2012_88	KF620488	NA	2012-11-XX	Badger	Taiwan	NA	Rabies_lyssavirus
R2013_01	KF620489	NA	2013-01-XX	Badger	Taiwan	NA	Rabies_lyssavirus
RAC	JQ685901	NA	2003-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
RB/E3_15	EU182346	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
RC_HL	AB009663	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
ROM/2015/brain	LT993245	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
RRV_ON_99_2	EU311738	NA	1999-XX-XX	Raccoon	Canada	NA	Rabies_lyssavirus
RUS_FJL_2016_VL	KX954123	NA	2016-XX-XX	Fox	Russia	NA	Rabies_lyssavirus
RV1009	MG458308	NA	2000-XX-XX	Mongoose	South_Africa	NA	Rabies_lyssavirus
RV108	MG458305	NA	XXXX-XX-XX	Bat	Chile	NA	Rabies_lyssavirus
RV1142	KY860609	NA	2001-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
RV1144	KY860605	NA	2001-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV1145	KY860604	NA	2000-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV1185	MG458309	NA	1978-XX-XX	Dog	Serbia	NA	Rabies_lyssavirus
RV1189	MG458310	NA	1986-XX-XX	Cattle	Serbia	NA	Rabies_lyssavirus
RV1196	MG458311	NA	1998-XX-XX	Fox	Serbia	NA	Rabies_lyssavirus
RV1219	MG458312	NA	1997-XX-XX	Fox	Serbia	NA	Rabies_lyssavirus
RV1336	MG458313	NA	1996-XX-XX	Fox	Russia	NA	Rabies_lyssavirus
RV1391_GRL_1_F_1990	KX036361	NA	1990-03-01	Fox	Greenland	NA	Rabies_lyssavirus
RV1416_GRL_5_AF_2002	KX036363	NA	2002-01-01	Fox	Greenland	NA	Rabies_lyssavirus
RV1417_GRL_3_AF_2002	KX036364	NA	2002-01-01	Fox	Greenland	NA	Rabies_lyssavirus
RV1418_GRL_4_AF_2002	KX036365	NA	2002-01-01	Fox	Greenland	NA	Rabies_lyssavirus
RV1419_GRL_3_AF_2002	KX036366	NA	2002-10-01	Fox	Greenland	NA	Rabies_lyssavirus
RV1420_GRL_4_AF_2002	KX036367	NA	2002-10-01	Fox	Greenland	NA	Rabies_lyssavirus
RV1789	MG458314	NA	1997-XX-XX	Cattle	NA	NA	Rabies_lyssavirus
RV201	KY860612	NA	1989-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
RV2321	MG458315	NA	1998-XX-XX	Dog	Egypt	NA	Rabies_lyssavirus
RV2322	MG458316	NA	1998-XX-XX	Dog	Egypt	NA	Rabies_lyssavirus
RV2323	MG458317	NA	1999-XX-XX	Dog	Egypt	NA	Rabies_lyssavirus
RV2324	KF154998	NA	1950-XX-XX	Dog	Israel	NA	Rabies_lyssavirus
RV2417	KF154999	NA	2008-XX-XX	Dog	United_Kingdom	NA	Rabies_lyssavirus
RV2481	MG458318	NA	2008-XX-XX	Human	South_Africa	NA	Rabies_lyssavirus
RV2490	KR534217	NA	2008-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
RV2491	KR534218	NA	2008-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
RV2492	KR534219	NA	2007-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
RV2493	KR534220	NA	2008-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
RV2495.1	KR906734	NA	2008-07-12	Dog	Tanzania	NA	Rabies_lyssavirus
RV2497	KY210223	NA	2007-06-22	Dog	Tanzania	NA	Rabies_lyssavirus
RV2498.1	KR906735	NA	2008-08-06	Dog	Tanzania	NA	Rabies_lyssavirus
RV2499.1	KR906736	NA	2008-08-05	Dog	Tanzania	NA	Rabies_lyssavirus
RV2500.1	KR906737	NA	2008-11-23	Dog	Tanzania	NA	Rabies_lyssavirus
RV2501.1	KR906738	NA	2004-02-14	Cattle	Tanzania	NA	Rabies_lyssavirus
RV2502.1	KR906739	NA	2004-04-18	Dog	Tanzania	NA	Rabies_lyssavirus
RV2503.1	KR906740	NA	2009-02-15	Wild_Cat	Tanzania	NA	Rabies_lyssavirus
RV2504.1	KR906741	NA	2003-06-18	Dog	Tanzania	NA	Rabies_lyssavirus
RV2516	KF155000	NA	2010-XX-XX	Cattle	Iraq	NA	Rabies_lyssavirus
RV2627	KF155001	NA	2009-XX-XX	Cattle	Morocco	NA	Rabies_lyssavirus
RV2767.1	KR906742	NA	2009-09-12	Dog	Tanzania	NA	Rabies_lyssavirus
RV2770.1	KR906743	NA	2010-05-03	Dog	Tanzania	NA	Rabies_lyssavirus
RV2771.1	KR906744	NA	2010-05-27	Dog	Tanzania	NA	Rabies_lyssavirus
RV2772	KF155002	NA	2010-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
RV2773.1	KR906745	NA	2010-10-26	Dog	Tanzania	NA	Rabies_lyssavirus
RV2774.1	KR906746	NA	2010-11-02	Dog	Tanzania	NA	Rabies_lyssavirus
RV2775.1	KR906747	NA	2010-11-26	Dog	Tanzania	NA	Rabies_lyssavirus
RV2776.1	KR906748	NA	2010-12-29	Dog	Tanzania	NA	Rabies_lyssavirus
RV2777.1	KR906749	NA	2010-12-24	Dog	Tanzania	NA	Rabies_lyssavirus
RV2778.1	KR906750	NA	2010-12-26	Dog	Tanzania	NA	Rabies_lyssavirus
RV2780.1	KR906751	NA	2011-02-07	Dog	Tanzania	NA	Rabies_lyssavirus
RV2782.1	KR906752	NA	2011-02-11	Dog	Tanzania	NA	Rabies_lyssavirus
RV2783.1	KR906753	NA	2011-02-28	Cattle	Tanzania	NA	Rabies_lyssavirus
RV2784.1	KR906754	NA	2011-02-28	Dog	Tanzania	NA	Rabies_lyssavirus
RV2792	KR534232	NA	2011-XX-XX	Jackal	Tanzania	NA	Rabies_lyssavirus
RV2793.1	KR906755	NA	2011-01-02	Dog	Tanzania	NA	Rabies_lyssavirus
RV2794	KR534233	NA	2011-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
RV2795	KR534234	NA	2011-XX-XX	Cattle	Tanzania	NA	Rabies_lyssavirus
RV2796	KR534235	NA	2011-XX-XX	Cattle	Tanzania	NA	Rabies_lyssavirus
RV2797	KR534236	NA	2011-XX-XX	Cattle	Tanzania	NA	Rabies_lyssavirus
RV2798	KR534237	NA	2011-XX-XX	Cattle	Tanzania	NA	Rabies_lyssavirus
RV2799.1	KR906756	NA	2011-01-29	Dog	Tanzania	NA	Rabies_lyssavirus
RV2807.1	KR906757	NA	2010-10-03	Dog	Tanzania	NA	Rabies_lyssavirus
RV2809.1	KR906759	NA	2010-04-16	Dog	Tanzania	NA	Rabies_lyssavirus
RV2810.1	KR906760	NA	2010-04-23	Dog	Tanzania	NA	Rabies_lyssavirus
RV2813.1	KR906762	NA	2010-04-28	Dog	Tanzania	NA	Rabies_lyssavirus
RV2814.1	KR906763	NA	2010-05-17	Dog	Tanzania	NA	Rabies_lyssavirus
RV2815.1	KR906764	NA	2010-09-27	Goat	Tanzania	NA	Rabies_lyssavirus
RV2816.1	KR906765	NA	2010-09-28	Dog	Tanzania	NA	Rabies_lyssavirus
RV2817.1	KR906766	NA	2010-11-26	Dog	Tanzania	NA	Rabies_lyssavirus
RV2854	MG458319	NA	2012-XX-XX	Mongoose	Grenada	NA	Rabies_lyssavirus
RV2861.1	KR906767	NA	2011-05-11	Dog	Tanzania	NA	Rabies_lyssavirus
RV2862.1	KR906768	NA	2011-05-11	Dog	Tanzania	NA	Rabies_lyssavirus
RV2871.1	KR906769	NA	2011-06-17	Dog	Tanzania	NA	Rabies_lyssavirus
RV2875.1	KR906770	NA	2011-06-29	Dog	Tanzania	NA	Rabies_lyssavirus
RV2889	KR534244	NA	2011-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
RV2890	KR534245	NA	2011-XX-XX	Cattle	Tanzania	NA	Rabies_lyssavirus
RV2891	KR534246	NA	2011-XX-XX	Civet	Tanzania	NA	Rabies_lyssavirus
RV2892	KR534247	NA	2011-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
RV2893	KR534248	NA	2011-XX-XX	Cattle	Tanzania	NA	Rabies_lyssavirus
RV2894.1	KR906771	NA	2011-08-15	Dog	Tanzania	NA	Rabies_lyssavirus
RV2896.1	KR906772	NA	2011-08-19	Dog	Tanzania	NA	Rabies_lyssavirus
RV2897	KR534250	NA	2011-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
RV2898	KR534251	NA	2011-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
RV2899	KR534252	NA	2011-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
RV2900.1	KR906773	NA	2011-09-27	Dog	Tanzania	NA	Rabies_lyssavirus
RV2901.1	KR906774	NA	2011-09-22	Dog	Tanzania	NA	Rabies_lyssavirus
RV2902.1	KR906775	NA	2011-09-24	Unknown	Tanzania	NA	Rabies_lyssavirus
RV2906	KR534254	NA	2011-XX-XX	Cat	Tanzania	NA	Rabies_lyssavirus
RV2907.1	KR906776	NA	2011-10-16	Dog	Tanzania	NA	Rabies_lyssavirus
RV2924	MG458320	NA	2012-XX-XX	Human	Nepal	NA	Rabies_lyssavirus
RV2975	KY860583	NA	1999-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
RV2976	KY860588	NA	2004-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV2977	KY860589	NA	2006-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV2979	KY860591	NA	2008-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV2980	KY860592	NA	2009-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV2981	KY860593	NA	2010-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV2982	KY860594	NA	2012-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV2983	KY860595	NA	2012-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV2984	KY860590	NA	2007-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV2985	KP723638	NA	2014-07-11	Dog	Ethiopia	NA	Rabies_lyssavirus
RV303	KY860613	NA	1989-XX-XX	Raccoon	Russia	NA	Rabies_lyssavirus
RV3091.1	KR906777	NA	2011-12-05	Unknown	Tanzania	NA	Rabies_lyssavirus
RV3093.1	KR906778	NA	2011-12-22	Unknown	Tanzania	NA	Rabies_lyssavirus
RV3100.1	KR906779	NA	2012-02-19	Cattle	Tanzania	NA	Rabies_lyssavirus
RV3104.1	KR906780	NA	2011-12-22	Dog	Tanzania	NA	Rabies_lyssavirus
RV3107.1	KR906781	NA	2012-04-09	Unknown	Tanzania	NA	Rabies_lyssavirus
RV3111.1	KR906782	NA	2012-04-29	Dog	Tanzania	NA	Rabies_lyssavirus
RV3117.1	KR906783	NA	2012-05-12	Dog	Tanzania	NA	Rabies_lyssavirus
RV3123.1	KR906792	NA	2012-04-26	Dog	Tanzania	NA	Rabies_lyssavirus
RV3125.1	KR906784	NA	2012-06-06	Dog	Tanzania	NA	Rabies_lyssavirus
RV3127.1	KR906785	NA	2012-06-11	Unknown	Tanzania	NA	Rabies_lyssavirus
RV3128.1	KR906786	NA	2012-06-16	Swine	Tanzania	NA	Rabies_lyssavirus
RV3131.1	KR906787	NA	2012-07-07	Cattle	Tanzania	NA	Rabies_lyssavirus
RV3132.1	KR906788	NA	2012-04-02	Cattle	Tanzania	NA	Rabies_lyssavirus
RV3133.1	KR906789	NA	2012-07-04	Dog	Tanzania	NA	Rabies_lyssavirus
RV3140.1	KR906790	NA	2012-07-27	Dog	Tanzania	NA	Rabies_lyssavirus
RV3149.1	KR906791	NA	2012-01-23	Dog	Tanzania	NA	Rabies_lyssavirus
RV3160	KY860601	NA	2014-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV3161	KY860602	NA	2014-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
RV3162	KY860596	NA	2014-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV3163	KY860597	NA	2014-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
RV3166	KY860603	NA	2015-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
RV50	MG458304	NA	1975-XX-XX	Bat	USA	NA	Rabies_lyssavirus
RV61	KF154996	NA	1987-XX-XX	Human	United_Kingdom	NA	Rabies_lyssavirus
RV860	MG458306	NA	XXXX-XX-XX	Fox	Czech_Republic	NA	Rabies_lyssavirus
RV995	MG458307	NA	2000-XX-XX	Cat	South_Africa	NA	Rabies_lyssavirus
RV_97	EF542830	NA	XXXX-XX-XX	Unknown	Russia	NA	Rabies_lyssavirus
Rb/E3_15_5	EU182347	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
Rus_Astrakhan__8329H_2003	KT728348	NA	2003-XX-XX	Human	Russia	NA	Rabies_lyssavirus
Rus_Astrakhan__8330H_2003	KT728349	NA	2003-XX-XX	Human	Russia	NA	Rabies_lyssavirus
Rus_Lipetsk_8052f_2011	KC595280	NA	2011-XX-XX	Fox	Russia	NA	Rabies_lyssavirus
Rus_Lipetsk_8053c_2011	KC595281	NA	2011-XX-XX	Cat	Russia	NA	Rabies_lyssavirus
Rus_Lipetsk_8054f_2011	KC595282	NA	2011-XX-XX	Fox	Russia	NA	Rabies_lyssavirus
Rus_Lipetsk_8057f_2011	KC595283	NA	2011-XX-XX	Fox	Russia	NA	Rabies_lyssavirus
Rv1124	KY860584	NA	1999-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
Rv1126	KY860585	NA	2001-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
Rv1127	KY860586	NA	2001-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
Rv1128	KY860587	NA	2001-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
Rv1129	KY860606	NA	2001-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
Rv1133	KY860610	NA	2001-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
Rv1134	KY860611	NA	2001-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
Rv1136	KY860607	NA	2001-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
Rv1137	KY860608	NA	2001-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
Rv437	KF154997	NA	XXXX-XX-XX	Raccoon	Estonia	NA	Rabies_lyssavirus
SAD	EU886636	NA	2006-XX-XX	Fox	Germany	NA	Rabies_lyssavirus
SAD1_3670_var_1	EF206717	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD1_3670_var_2	EF206718	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_B19_10th	EU877071	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_B19_1st	EU877069	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_B19_4th	EU877067	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_B19_5th	EU877070	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_B19__Fuchsoral_	EF206709	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_Bern__Lysvulpen_	EF206708	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_Bern__Sanafox_	EF206720	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_Bern_original_var_1	EF206710	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_Bern_original_var_2	EF206711	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_Bern_original_var_3	EF206712	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_Bern_original_var_4	EF206713	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_Bern_original_var_5	EF206714	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_P5/88__Rabifox_	EF206715	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAD_VA1__original_	EF206716	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SAG_2	EF206719	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SH06	GU345748	NA	2006-XX-XX	Dog	China	NA	Rabies_lyssavirus
SHBRV_18	AY705373	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SLOV/2012/cellculture1	LT993235	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SLOV/2012/cellculture2	LT993239	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SLOV/2014/brain	LT993236	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SM1545	JQ685941	NA	2005-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM3844	JQ685974	NA	1995-XX-XX	Bat	USA	NA	Rabies_lyssavirus
SM3849	JQ685907	NA	1996-XX-XX	Bat	USA	NA	Rabies_lyssavirus
SM4862	JQ685946	NA	1999-XX-XX	Bat	USA	NA	Rabies_lyssavirus
SM4871	JQ685923	NA	1999-XX-XX	Bat	USA	NA	Rabies_lyssavirus
SM4872	JQ685960	NA	2001-XX-XX	Bat	USA	NA	Rabies_lyssavirus
SM5074	JQ685935	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5075	JQ685949	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
