strain	virus	accession	date	region	country	division	location	host	source	locus	authors	url	title	journal	puburl
KS040008	rabies	HM113978	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040011	rabies	HM113979	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040021	rabies	HM113718	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040030	rabies	HM113981	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040031	rabies	HM113982	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040032	rabies	HM113983	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040040	rabies	HM113722	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040062	rabies	HM113985	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040068	rabies	HM113723	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040070	rabies	HM113724	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040082	rabies	HM113725	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040084	rabies	HM113989	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040093	rabies	HM113990	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040105	rabies	HM113727	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040112	rabies	HM113992	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040115	rabies	HM113729	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040124	rabies	HM113730	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040130	rabies	HM113994	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040140	rabies	HM113995	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040154	rabies	HM113732	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040184	rabies	HM113733	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040188	rabies	HM113734	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040205	rabies	HM113735	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040207	rabies	HM113736	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040256	rabies	HM114000	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040257	rabies	HM114001	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS040275	rabies	HM113738	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050002	rabies	HM114002	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050005	rabies	HM113740	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050006	rabies	HM113741	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050009	rabies	HM113742	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050010	rabies	HM113743	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050016	rabies	HM114007	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050017	rabies	HM113745	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050023	rabies	HM113746	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050030	rabies	HM113747	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050034	rabies	HM114011	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050054	rabies	HM113749	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050057	rabies	HM113750	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050062	rabies	HM113751	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050078	rabies	HM113752	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050091	rabies	HM114016	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050092	rabies	HM114017	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050114	rabies	HM113755	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050115	rabies	HM113756	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050119	rabies	HM113757	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050121	rabies	HM113758	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050124	rabies	HM114022	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050130	rabies	HM113759	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050133	rabies	HM113760	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS050136	rabies	HM113761	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060012	rabies	HM113762	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060021	rabies	HM113763	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060034	rabies	HM114028	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060036	rabies	HM113765	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060046	rabies	HM114030	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060062	rabies	HM113767	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060063	rabies	HM113768	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060104	rabies	HM113769	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060105	rabies	HM113770	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060114	rabies	HM114026	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060118	rabies	HM114035	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060137	rabies	HM113772	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060141	rabies	HM113773	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060142	rabies	HM113774	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS060157	rabies	HM113775	?	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KS1552	rabies	KF484539	1992-XX-XX	north_america	usa	usa	usa	dog	genbank	genome	?	?	?	?	?
KS8640	rabies	KF484540	1984-XX-XX	north_america	usa	usa	usa	mammal	genbank	genome	?	?	?	?	?
KSBC090011	rabies	JX855972	2009-02-11	north_america	usa	usa	usa	bobcat	genbank	genome	?	?	?	?	?
KSBV090081	rabies	JX856101	2009-04-17	north_america	usa	usa	usa	cattle	genbank	genome	?	?	?	?	?
KSDG090015	rabies	JX855976	2009-02-24	north_america	usa	usa	usa	dog	genbank	genome	?	?	?	?	?
KSRC090010	rabies	JX855971	2009-02-11	north_america	usa	usa	usa	raccoon	genbank	genome	?	?	?	?	?
KSRF090022	rabies	JX855983	2009-03-16	north_america	usa	usa	usa	fox	genbank	genome	?	?	?	?	?
KSSK090001	rabies	JX855962	2009-01-05	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090002	rabies	JX855963	2009-01-08	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090003	rabies	JX855964	2009-01-12	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090006	rabies	JX855967	2009-01-21	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090007	rabies	JX856046	2009-01-29	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090009	rabies	JX856048	2009-02-05	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090012	rabies	JX855973	2009-02-11	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090013	rabies	JX856052	2009-02-19	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090014	rabies	JX855975	2009-02-24	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090016	rabies	JX856055	2009-02-25	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090017	rabies	JX856056	2009-02-27	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090020	rabies	JX855981	2009-03-10	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090021	rabies	JX855982	2009-03-13	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090025	rabies	JX856063	2009-03-18	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090027	rabies	JX856064	2009-03-18	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090028	rabies	JX856065	2009-03-19	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090030	rabies	JX855988	2009-03-26	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090035	rabies	JX855990	2009-04-01	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090049	rabies	JX855999	2009-04-08	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090050	rabies	JX856078	2009-04-08	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090051	rabies	JX856079	2009-04-09	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090053	rabies	JX856080	2009-04-14	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090054	rabies	JX856081	2009-04-14	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090055	rabies	JX856004	2009-04-15	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090084	rabies	JX856025	2009-04-21	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090097	rabies	JX856110	2009-04-30	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KSSK090100	rabies	JX856034	2009-05-06	north_america	usa	usa	usa	skunk	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RBF_20	rabies	KC887344	2012-XX-XX	?	na	?	?	buffalo	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RB_02	rabies	KC887341	2012-XX-XX	?	na	?	?	cattle	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RB_04	rabies	KC887342	2012-XX-XX	?	na	?	?	cattle	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RC_06	rabies	KC887345	2012-XX-XX	?	na	?	?	cat	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RC_18	rabies	KC887340	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_01	rabies	KC887332	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_03	rabies	KC894737	2012-XX-XX	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_05	rabies	KC887334	2012-XX-XX	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_07	rabies	KC887350	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_08	rabies	KC887339	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_09	rabies	KC887335	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_10	rabies	KC887338	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_17	rabies	KC887348	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_19	rabies	KC887343	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_25	rabies	KC887337	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_32	rabies	KC887349	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_36	rabies	KC887351	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_38	rabies	KC887333	2012-XX-XX	?	na	?	?	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RD_V	rabies	KC887346	2012-XX-XX	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RE_14	rabies	KC887347	2012-XX-XX	?	na	?	?	horse	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RF_08	rabies	KC887352	2012-XX-XX	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
KVAFSU_BNG_RG_23	rabies	KC887336	2012-XX-XX	?	na	?	?	goat	genbank	genome	?	?	?	?	?
KY2877SK	rabies	AF369292	?	?	na	?	?	skunk	genbank	genome	?	?	?	?	?
KZ/cattle/4867	rabies	KT965738	2014-XX-XX	west_asia	kazakhstan	kazakhstan	kazakhstan	cattle	genbank	genome	?	?	?	?	?
KZ/dog/5317	rabies	KT965736	2014-XX-XX	west_asia	kazakhstan	kazakhstan	kazakhstan	dog	genbank	genome	?	?	?	?	?
KZNcw03103	rabies	DQ841425	?	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
KZNcw03467	rabies	DQ841545	?	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
KZNcw03620	rabies	DQ841426	?	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
KZNcw0383	rabies	DQ841424	?	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
KZNdg03105	rabies	DQ841428	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03106	rabies	DQ841429	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03114	rabies	DQ841430	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03120	rabies	DQ841431	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03121	rabies	DQ841432	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03127	rabies	DQ841433	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03129	rabies	DQ841434	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03133	rabies	DQ841435	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03142	rabies	DQ841437	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03147	rabies	DQ841438	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03149	rabies	DQ841439	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03152	rabies	DQ841440	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03169	rabies	DQ841441	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03170	rabies	DQ841442	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03176	rabies	DQ841443	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03180	rabies	DQ841444	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03192	rabies	DQ841445	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03194	rabies	DQ841446	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03200	rabies	DQ841447	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03204	rabies	DQ841448	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03205	rabies	DQ841449	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03209	rabies	DQ841450	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03213	rabies	DQ841451	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03214	rabies	DQ841452	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03215	rabies	DQ841453	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03225	rabies	DQ841454	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03230	rabies	DQ841455	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03235	rabies	DQ841456	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03236	rabies	DQ841457	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03237	rabies	DQ841458	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03241	rabies	DQ841459	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03247	rabies	DQ841460	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03251	rabies	DQ841461	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03253	rabies	DQ841462	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03254	rabies	DQ841463	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03256	rabies	DQ841464	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03263	rabies	DQ841465	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03264	rabies	DQ841466	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03265	rabies	DQ841467	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03269	rabies	DQ841468	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03270	rabies	DQ841469	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03276	rabies	DQ841470	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03290	rabies	DQ841471	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03292	rabies	DQ841472	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03293	rabies	DQ841473	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03299	rabies	DQ841474	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03302	rabies	DQ841475	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03306	rabies	DQ841476	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03307	rabies	DQ841477	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03308	rabies	DQ841478	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03309	rabies	DQ841479	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03314	rabies	DQ841480	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03315	rabies	DQ841481	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03316	rabies	DQ841482	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03321	rabies	DQ841483	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03326	rabies	DQ841484	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03328	rabies	DQ841485	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03335	rabies	DQ841486	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03336	rabies	DQ841487	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03340	rabies	DQ841488	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03343	rabies	DQ841489	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03360	rabies	DQ841491	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03366	rabies	DQ841492	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03368	rabies	DQ841493	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03375	rabies	DQ841494	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03378	rabies	DQ841495	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03382	rabies	DQ841496	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03387	rabies	DQ841497	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03389	rabies	DQ841498	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03391	rabies	DQ841499	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03399	rabies	DQ841500	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03400	rabies	DQ841501	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03404	rabies	DQ841502	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03406	rabies	DQ841503	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03407	rabies	DQ841504	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03409	rabies	DQ841505	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03410	rabies	DQ841506	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03411	rabies	DQ841507	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03417	rabies	DQ841508	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03418	rabies	DQ841509	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03425	rabies	DQ841510	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03430	rabies	DQ841511	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03431	rabies	DQ841512	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03437	rabies	DQ841513	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03453	rabies	DQ841514	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03454	rabies	DQ841515	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03455	rabies	DQ841516	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg0346	rabies	DQ841517	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03463	rabies	DQ841518	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03470	rabies	DQ841519	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03474	rabies	DQ841520	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03475	rabies	DQ841521	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03478	rabies	DQ841522	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03485	rabies	DQ841523	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03491	rabies	DQ841524	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03492	rabies	DQ841525	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03494	rabies	DQ841526	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03502	rabies	DQ841527	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03503	rabies	DQ841528	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03507	rabies	DQ841529	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03509	rabies	DQ841530	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03510	rabies	DQ841531	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03513	rabies	DQ841532	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03514	rabies	DQ841533	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03518	rabies	DQ841534	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03568	rabies	DQ841535	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03583	rabies	DQ841536	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03588	rabies	DQ841537	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03589	rabies	DQ841538	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03594	rabies	DQ841539	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03621	rabies	DQ841540	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg03672	rabies	DQ841541	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNdg0389	rabies	DQ841427	?	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
KZNgt03330	rabies	DQ841542	?	africa	south_africa	south_africa	south_africa	goat	genbank	genome	?	?	?	?	?
KZNgt03358	rabies	DQ841543	?	africa	south_africa	south_africa	south_africa	goat	genbank	genome	?	?	?	?	?
KZNgt03364	rabies	DQ841544	?	africa	south_africa	south_africa	south_africa	goat	genbank	genome	?	?	?	?	?
KZNhmSPU02326	rabies	DQ841423	?	africa	south_africa	south_africa	south_africa	human	genbank	genome	?	?	?	?	?
KZNhmSPU0315	rabies	DQ841546	?	africa	south_africa	south_africa	south_africa	human	genbank	genome	?	?	?	?	?
KZNhmSPU03272	rabies	DQ841549	?	africa	south_africa	south_africa	south_africa	human	genbank	genome	?	?	?	?	?
